,Grid_X,Grid_Y,Density
0,1.0,1.0,0.0
1,1.0,2.0,0.0
2,1.0,3.0,0.0
3,1.0,4.0,0.0
4,1.0,5.0,0.0
5,1.0,6.0,0.0
6,1.0,7.0,0.0
7,1.0,8.0,0.0
8,1.0,9.0,0.0
9,1.0,10.0,0.0
10,1.0,11.0,0.0
11,1.0,12.0,0.0
12,1.0,13.0,0.0
13,1.0,14.0,0.0
14,1.0,15.0,0.0
15,1.0,16.0,0.0
16,1.0,17.0,0.0
17,1.0,18.0,0.0
18,1.0,19.0,0.0
19,1.0,20.0,0.0
20,1.0,21.0,0.0
21,1.0,22.0,0.0
22,1.0,23.0,0.0
23,1.0,24.0,0.0
24,1.0,25.0,0.0
25,1.0,26.0,0.0
26,1.0,27.0,0.0
27,1.0,28.0,0.0
28,1.0,29.0,0.0
29,1.0,30.0,0.0
30,1.0,31.0,0.0
31,1.0,32.0,0.0
32,1.0,33.0,0.0
33,1.0,34.0,0.0
34,1.0,35.0,0.0
35,1.0,36.0,0.0
36,1.0,37.0,0.0
37,1.0,38.0,0.0
38,1.0,39.0,0.0
39,1.0,40.0,0.0
40,1.0,41.0,0.0
41,1.0,42.0,0.0
42,1.0,43.0,0.0
43,1.0,44.0,0.0
44,1.0,45.0,0.0
45,1.0,46.0,0.0
46,1.0,47.0,0.0
47,1.0,48.0,0.0
48,1.0,49.0,0.0
49,1.0,50.0,0.0
50,1.0,51.0,0.0
51,1.0,52.0,0.0
52,1.0,53.0,0.0
53,1.0,54.0,0.0
54,1.0,55.0,0.0
55,1.0,56.0,0.0
56,1.0,57.0,0.0
57,1.0,58.0,0.0
58,1.0,59.0,0.0
59,1.0,60.0,0.0
60,1.0,61.0,0.0
61,1.0,62.0,0.0
62,1.0,63.0,0.0
63,1.0,64.0,0.0
64,1.0,65.0,0.0
65,1.0,66.0,0.0
66,1.0,67.0,0.0
67,1.0,68.0,0.0
68,1.0,69.0,0.0
69,1.0,70.0,0.0
70,1.0,71.0,0.0
71,1.0,72.0,0.0
72,1.0,73.0,0.0
73,1.0,74.0,0.0
74,1.0,75.0,0.0
75,1.0,76.0,0.0
76,1.0,77.0,0.0
77,1.0,78.0,0.0
78,1.0,79.0,0.0
79,1.0,80.0,0.0
80,1.0,81.0,0.0
81,1.0,82.0,0.0
82,1.0,83.0,0.0
83,1.0,84.0,0.0
84,1.0,85.0,0.0
85,1.0,86.0,0.0
86,1.0,87.0,0.0
87,1.0,88.0,0.0
88,1.0,89.0,0.0
89,1.0,90.0,0.0
90,1.0,91.0,0.0
91,1.0,92.0,0.0
92,1.0,93.0,0.0
93,1.0,94.0,0.0
94,1.0,95.0,0.0
95,1.0,96.0,0.0
96,1.0,97.0,0.0
97,1.0,98.0,0.0
98,1.0,99.0,0.0
99,1.0,100.0,0.0
100,2.0,1.0,0.0
101,2.0,2.0,0.0
102,2.0,3.0,0.0
103,2.0,4.0,0.0
104,2.0,5.0,0.0
105,2.0,6.0,0.0
106,2.0,7.0,0.0
107,2.0,8.0,0.0
108,2.0,9.0,0.0
109,2.0,10.0,0.0
110,2.0,11.0,0.0
111,2.0,12.0,0.0
112,2.0,13.0,0.0
113,2.0,14.0,0.0
114,2.0,15.0,0.0
115,2.0,16.0,0.0
116,2.0,17.0,0.0
117,2.0,18.0,0.0
118,2.0,19.0,0.0
119,2.0,20.0,0.0
120,2.0,21.0,0.0
121,2.0,22.0,0.0
122,2.0,23.0,0.0
123,2.0,24.0,0.0
124,2.0,25.0,0.0
125,2.0,26.0,0.0
126,2.0,27.0,0.0
127,2.0,28.0,0.0
128,2.0,29.0,0.0
129,2.0,30.0,0.0
130,2.0,31.0,0.0
131,2.0,32.0,0.0
132,2.0,33.0,0.0
133,2.0,34.0,0.0
134,2.0,35.0,0.0
135,2.0,36.0,0.0
136,2.0,37.0,0.0
137,2.0,38.0,0.0
138,2.0,39.0,0.0
139,2.0,40.0,0.0
140,2.0,41.0,0.0
141,2.0,42.0,0.0
142,2.0,43.0,0.0
143,2.0,44.0,0.0
144,2.0,45.0,0.0
145,2.0,46.0,0.0
146,2.0,47.0,0.0
147,2.0,48.0,0.0
148,2.0,49.0,0.0
149,2.0,50.0,0.0
150,2.0,51.0,0.0
151,2.0,52.0,0.0
152,2.0,53.0,0.0
153,2.0,54.0,0.0
154,2.0,55.0,0.0
155,2.0,56.0,0.0
156,2.0,57.0,0.0
157,2.0,58.0,0.0
158,2.0,59.0,0.0
159,2.0,60.0,0.0
160,2.0,61.0,0.0
161,2.0,62.0,0.0
162,2.0,63.0,0.0
163,2.0,64.0,0.0
164,2.0,65.0,0.0
165,2.0,66.0,0.0
166,2.0,67.0,0.0
167,2.0,68.0,0.0
168,2.0,69.0,0.0
169,2.0,70.0,0.0
170,2.0,71.0,0.0
171,2.0,72.0,0.0
172,2.0,73.0,0.0
173,2.0,74.0,0.0
174,2.0,75.0,0.0
175,2.0,76.0,0.0
176,2.0,77.0,0.0
177,2.0,78.0,0.0
178,2.0,79.0,0.0
179,2.0,80.0,0.0
180,2.0,81.0,0.0
181,2.0,82.0,0.0
182,2.0,83.0,0.0
183,2.0,84.0,0.0
184,2.0,85.0,0.0
185,2.0,86.0,0.0
186,2.0,87.0,0.0
187,2.0,88.0,0.0
188,2.0,89.0,0.0
189,2.0,90.0,0.0
190,2.0,91.0,0.0
191,2.0,92.0,0.0
192,2.0,93.0,0.0
193,2.0,94.0,0.0
194,2.0,95.0,0.0
195,2.0,96.0,0.0
196,2.0,97.0,0.0
197,2.0,98.0,0.0
198,2.0,99.0,0.0
199,2.0,100.0,0.0
200,3.0,1.0,0.0
201,3.0,2.0,0.0
202,3.0,3.0,0.0
203,3.0,4.0,0.0
204,3.0,5.0,0.0
205,3.0,6.0,0.0
206,3.0,7.0,0.0
207,3.0,8.0,0.0
208,3.0,9.0,0.0
209,3.0,10.0,0.0
210,3.0,11.0,0.0
211,3.0,12.0,0.0
212,3.0,13.0,0.0
213,3.0,14.0,0.0
214,3.0,15.0,0.0
215,3.0,16.0,0.0
216,3.0,17.0,0.0
217,3.0,18.0,0.0
218,3.0,19.0,0.0
219,3.0,20.0,0.0
220,3.0,21.0,0.0
221,3.0,22.0,0.0
222,3.0,23.0,0.0
223,3.0,24.0,0.0
224,3.0,25.0,0.0
225,3.0,26.0,0.0
226,3.0,27.0,0.0
227,3.0,28.0,0.0
228,3.0,29.0,0.0
229,3.0,30.0,0.0
230,3.0,31.0,0.0
231,3.0,32.0,0.0
232,3.0,33.0,0.0
233,3.0,34.0,0.0
234,3.0,35.0,0.0
235,3.0,36.0,0.0
236,3.0,37.0,0.0
237,3.0,38.0,0.0
238,3.0,39.0,0.0
239,3.0,40.0,0.0
240,3.0,41.0,0.0
241,3.0,42.0,0.0
242,3.0,43.0,0.0
243,3.0,44.0,0.0
244,3.0,45.0,0.0
245,3.0,46.0,0.0
246,3.0,47.0,0.0
247,3.0,48.0,0.0
248,3.0,49.0,0.0
249,3.0,50.0,0.0
250,3.0,51.0,0.0
251,3.0,52.0,0.0
252,3.0,53.0,0.0
253,3.0,54.0,0.0
254,3.0,55.0,0.0
255,3.0,56.0,0.0
256,3.0,57.0,0.0
257,3.0,58.0,0.0
258,3.0,59.0,0.0
259,3.0,60.0,0.0
260,3.0,61.0,0.0
261,3.0,62.0,0.0
262,3.0,63.0,0.0
263,3.0,64.0,0.0
264,3.0,65.0,0.0
265,3.0,66.0,0.0
266,3.0,67.0,0.0
267,3.0,68.0,0.0
268,3.0,69.0,0.0
269,3.0,70.0,0.0
270,3.0,71.0,0.0
271,3.0,72.0,0.0
272,3.0,73.0,0.0
273,3.0,74.0,0.0
274,3.0,75.0,0.0
275,3.0,76.0,0.0
276,3.0,77.0,0.0
277,3.0,78.0,0.0
278,3.0,79.0,0.0
279,3.0,80.0,0.0
280,3.0,81.0,0.0
281,3.0,82.0,0.0
282,3.0,83.0,0.0
283,3.0,84.0,0.0
284,3.0,85.0,0.0
285,3.0,86.0,0.0
286,3.0,87.0,0.0
287,3.0,88.0,0.0
288,3.0,89.0,0.0
289,3.0,90.0,0.0
290,3.0,91.0,0.0
291,3.0,92.0,0.0
292,3.0,93.0,0.0
293,3.0,94.0,0.0
294,3.0,95.0,0.0
295,3.0,96.0,0.0
296,3.0,97.0,0.0
297,3.0,98.0,0.0
298,3.0,99.0,0.0
299,3.0,100.0,0.0
300,4.0,1.0,0.0
301,4.0,2.0,0.0
302,4.0,3.0,0.0
